Job Title,Job Type,Location,Experience Level,Salary Min (?),Salary Max (?),Min Education,Category,Openings,Notice Period,Year of Passing,Direct Link,Work Type,Interview Type,Company Name,Company Website,Company Description,Job Description,Requirements,Responsibilities,Skills
QA/QC Engineer,Full-time,"Eros Metal Works, Nagpur",2-5 years,35000,50000,Graduate,Manufacturing,1,Upto 2 weeks,2019-2023,eros ngp@bsnl.in,On-Site,Online,Eros Metal Works Pvt Ltd,https://www.erosmetalworks.com,Leading precision metal manufacturing company in Nagpur specializing in aerospace and automotive components with ISO certification and modern CNC facilities.,"Develop and implement quality control procedures, analyze manufacturing data, oversee testing processes, ensure compliance with standards and regulations.",Bachelor's degree in engineering | 2-5 years QA QC experience | Knowledge of quality systems | Statistical analysis skills | Attention to detail precision,Develop quality control procedures | Oversee testing and inspection | Analyze quality data trends | Ensure regulatory compliance | Report quality metrics | Support audits,"Quality Control, Statistical Analysis, Testing Procedures, Regulatory Knowledge, Problem Solving"
Anshika Fasteners Production,Full-time,"MIDC Area, Nagpur",Fresher,17000,23000,10th Pass,Manufacturing,6,Immediate Joiner,2024-2025,info@anshikafasteners.com,On-Site,Walk-In,Anshika Fasteners Pvt Ltd,https://www.anshikafasteners.com,"Mid-sized fastener manufacturing company producing high-quality nuts, bolts, and screws for industrial applications across India and exports.","Operate fastener production machinery, monitor output quality, maintain production logs, ensure compliance with quality standards and safety protocols.",10th pass education minimum | Fresher candidates welcome | Knowledge of fastener production | Physical stamina for shift work | Attention to precision,Operate production line machinery | Monitor fastener quality | Complete production records | Maintain workplace safety | Collaborate with team members | Report issues promptly,"Machine Operation, Quality Monitoring, Precision Work, Safety Awareness, Teamwork"
Assembly Line Operator,Full-time,"Hingna, Nagpur",Fresher,16500,22500,10th Pass,Manufacturing,8,Immediate Joiner,2024-2025,ravi@bwipindia.com,On-Site,Walk-In,Wellspring Industries,wellprint.in,"Multi-product manufacturing facility in MIDC Hingna producing industrial components with focus on quality, sustainability, and employee development.","Assemble industrial components on production line, ensure quality standards, maintain assembly logs, coordinate with team members for smooth operations.",10th pass minimum | Fresher candidates accepted | Basic assembly knowledge | Physical stamina for standing | Manual dexterity required,Assemble components as per specifications | Monitor assembly quality | Maintain work area cleanliness | Report defects immediately | Follow safety guidelines | Work in shifts,"Assembly, Quality Control, Manual Skills, Safety Awareness, Teamwork"
Welding Operator,Full-time,"Kuhi, Nagpur",1-3 years,21000,28000,ITI,Manufacturing,4,Upto 1 week,2022-2025,aryanaluminium12@gmail.com,On-Site,On-site,Aryan Trading Company,https://www.aryangrouppune.co.in/,"CNC machine shop and manufacturing unit focusing on precision engineering, custom fabrication, and equipment maintenance services.","Perform welding operations on metal components, ensure welding quality, maintain welding equipment, prepare work area and materials.",ITI in welding required | 1-3 years welding experience | Knowledge of welding techniques | Safety protocol awareness | Physical capability,Perform welding operations accurately | Inspect welded joints quality | Maintain welding equipment properly | Prepare materials and workspace | Follow safety procedures | Report issues,"Welding, Metal Fabrication, Equipment Operation, Safety Compliance, Quality Control"
Forklift Operator,Full-time,Full-time,1-2 years,18000,24000,10th Pass,Manufacturing,3,Upto 1 week,2023-2025,ravi@bwipindia.com.,On-Site,Walk-In,Wellspring Industries,wellprint.in,"Multi-product manufacturing facility in MIDC Hingna producing industrial components with focus on quality, sustainability, and employee development.","Operate forklift for material movement, maintain inventory records, ensure warehouse safety, load and unload materials efficiently.",10th pass minimum | 1-2 years forklift operation | Valid forklift certification | Safety awareness | Attention to detail,Operate forklift machinery | Move materials efficiently | Maintain inventory records | Ensure warehouse safety | Follow traffic rules | Report equipment issues,"Forklift Operation, Material Handling, Safety Compliance, Inventory Management, Attention to Detail"
Packaging Technician,Full-time,Full-time,Fresher,15500,20500,10th Pass,Manufacturing,5,Immediate Joiner,2024-2025,sales@vaibhavplastimoulds.com,On-Site,Walk-In,Vaibhav Manufacturing,vaibhavplasto.com,Full-service manufacturing plant in Dharampeth specialized in automotive parts and machinery components with modern production facilities.,"Pack finished products, maintain packaging quality standards, prepare shipments, organize inventory, ensure packaging material sufficiency.",10th pass education | Fresher candidates welcome | Attention to packaging quality | Physical capability | Manual dexterity,Pack products according specifications | Maintain packaging quality | Prepare shipment labels | Organize inventory | Report packaging issues | Follow safety rules,"Packaging, Quality Control, Inventory Management, Attention to Detail, Manual Skills"
Die Casting Operator,Full-time,"Hingna, Nagpur",2-4 years,26000,36000,ITI,Manufacturing,2,Upto 2 weeks,2021-2023,eros ngp@bsnl.in,On-Site,On-site,Eros Metal Works Pvt Ltd,https://www.erosmetalworks.com,Leading precision metal manufacturing company in Nagpur specializing in aerospace and automotive components with ISO certification and modern CNC facilities.,"Operate die casting machines, monitor casting quality, maintain casting equipment, ensure compliance with production standards and safety.",ITI in mechanical engineering | 2-4 years die casting experience | Knowledge of casting processes | Technical aptitude | Problem-solving skills,Operate die casting machines | Monitor casting quality | Maintain equipment maintenance logs | Report defects immediately | Follow safety procedures | Coordinate with supervisors,"Die Casting, Equipment Operation, Quality Control, Safety Compliance, Technical Skills"
Surface Treatment Technician,Full-time,"MIDC Area, Nagpur",1-2 years,19000,26000,Diploma,Manufacturing,3,Upto 1 week,2023-2024,info@dmcfs.in.,On-Site,Online,Deccan Management Consultants,https://www.dmcfs.in/.,Manufacturing and skill training organization focused on quality assurance and production management with hands-on industry exposure.,"Perform surface treatment on components, maintain treatment chemicals, monitor quality, ensure environmental compliance and safety standards.",Diploma in chemistry or mechanical engineering | 1-2 years treatment experience | Knowledge of surface treatment processes | Safety awareness,Perform surface treatment operations | Monitor treatment quality | Maintain treatment chemicals | Maintain safety records | Report defects | Follow protocols,"Surface Treatment, Chemical Knowledge, Quality Control, Safety Compliance, Environmental Awareness"
Precision Measuring Inspector,Full-time,"Kuhi, Nagpur",1-3 years,23000,32000,Diploma,Manufacturing,2,Upto 1 week,2022-2024,aryanaluminium12@gmail.com,On-Site,On-site,Aryan Trading Company,https://www.aryangrouppune.co.in/,"CNC machine shop and manufacturing unit focusing on precision engineering, custom fabrication, and equipment maintenance services.","Measure component dimensions, verify quality standards, maintain inspection records, identify defects, prepare quality reports.",Diploma in mechanical or manufacturing | 1-3 years measuring experience | Knowledge of precision instruments | Attention to detail accuracy | Technical knowledge,Measure component dimensions accurately | Verify quality standards | Maintain inspection records | Identify defects | Prepare quality reports | Support audits,"Precision Measurement, Quality Inspection, Technical Knowledge, Documentation, Attention to Detail"
Shift Supervisor,Full-time,"Hingna Road, Nagpur",2-4 years,32000,42000,Graduate,Manufacturing,1,Upto 2 weeks,2020-2023,ravi@bwipindia.com.,On-Site,On-site,Wellspring Industries,wellprint.in,"Multi-product manufacturing facility in MIDC Hingna producing industrial components with focus on quality, sustainability, and employee development.","Supervise shift operations, manage team performance, ensure production targets, handle incidents, report to management.",Bachelor's degree required | 2-4 years supervisory experience | Leadership and communication skills | Safety knowledge | Production understanding,Supervise shift operations | Manage team performance | Ensure production targets achieved | Handle incidents professionally | Report to management | Enforce safety,"Leadership, Team Management, Production Planning, Safety Compliance, Problem Solving"
Inventory Technician,Full-time,"MIDC Hingna, Nagpur",1-2 years,18000,24000,10th Pass,Manufacturing,2,Upto 1 week,2023-2025,hello@starorigin.in,On-Site,Walk-In,Star Human Resource Solutions,https://starhumanresource.com/,"Recruitment and staffing agency placing candidates in manufacturing, production, and technical roles across Nagpur MIDC and industrial areas.","Manage inventory records, track material movement, coordinate stock levels, prepare inventory reports, coordinate with logistics.",10th pass minimum | 1-2 years inventory experience | Inventory software knowledge | Accuracy in record keeping | Organization skills,Manage inventory records | Track material movement | Prepare inventory reports | Coordinate stock levels | Maintain records accuracy | Report discrepancies,"Inventory Management, Record Keeping, Organization, Accuracy, Attention to Detail"
Pneumatic Systems Technician,Full-time,"Dharampeth, Nagpur",2-3 years,24000,32000,ITI,Manufacturing,1,Upto 2 weeks,2021-2024,sales@vaibhavplastimoulds.com,On-Site,On-site,Vaibhav Manufacturing,vaibhavplasto.com,Full-service manufacturing plant in Dharampeth specialized in automotive parts and machinery components with modern production facilities.,"Maintain pneumatic systems, troubleshoot equipment issues, perform preventive maintenance, keep maintenance logs, ensure safety compliance.",ITI in mechanical or electronics | 2-3 years pneumatic systems experience | Technical troubleshooting skills | Problem-solving ability | Safety awareness,Maintain pneumatic systems | Troubleshoot equipment issues | Perform preventive maintenance | Keep maintenance logs | Report problems immediately | Follow safety,"Pneumatic Systems, Equipment Maintenance, Troubleshooting, Technical Skills, Safety Compliance"
Heat Treatment Operator,Full-time,"Kuhi, Nagpur",1-2 years,20000,27000,ITI,Manufacturing,2,Upto 1 week,2023-2024,aryanaluminium12@gmail.com,On-Site,Walk-In,Aryan Trading Company,https://www.aryangrouppune.co.in/,"CNC machine shop and manufacturing unit focusing on precision engineering, custom fabrication, and equipment maintenance services.","Operate heat treatment furnaces, monitor temperature and timing, ensure quality, maintain equipment, follow safety protocols.",ITI in mechanical engineering | 1-2 years heat treatment experience | Temperature control knowledge | Safety protocol awareness | Technical aptitude,Operate heat treatment furnaces | Monitor temperature and timing | Ensure treatment quality | Maintain equipment logs | Report issues | Follow safety procedures,"Heat Treatment, Furnace Operation, Temperature Control, Quality Management, Safety Compliance"
Water Treatment Plant Operator,Full-time,"MIDC Area, Nagpur",1-3 years,22000,30000,Diploma,Manufacturing,1,Upto 1 week,2022-2024,hrd@zimlab.in,On-Site,Online,ZIM Laboratories Ltd,www.zimlab.in.,Pharmaceutical and manufacturing company at MIDC with integrated production facilities and strong focus on quality compliance and workplace safety.,"Monitor water treatment processes, maintain chemical balance, ensure quality standards, maintain treatment records, ensure environmental compliance.",Diploma in chemical engineering | 1-3 years water treatment experience | Knowledge of treatment chemicals | Environmental awareness | Regulatory knowledge,Monitor treatment processes | Maintain chemical balance | Ensure water quality standards | Maintain records | Test water regularly | Report anomalies,"Water Treatment, Chemical Knowledge, Quality Control, Environmental Compliance, Record Keeping"
Material Handler,Full-time,"Hingna, Nagpur",Fresher,16000,21000,10th Pass,Manufacturing,7,Immediate Joiner,2024-2025,ravi@bwipindia.com,On-Site,Walk-In,Wellspring Industries,wellprint.in,"Multi-product manufacturing facility in MIDC Hingna producing industrial components with focus on quality, sustainability, and employee development.","Handle raw materials, organize storage, maintain material logs, coordinate with production team, ensure material availability.",10th pass minimum | Fresher candidates welcome | Physical strength and stamina | Safety awareness | Organization skills,Handle raw materials carefully | Organize storage areas | Maintain material logs | Coordinate with team | Ensure material availability | Follow safety,"Material Handling, Physical Stamina, Organization, Safety Awareness, Teamwork"
Production Planner,Full-time,"Hingna Road, Nagpur",2-3 years,38000,48000,Graduate,Manufacturing,1,Upto 1 week,2021-2023,ravi@bwipindia.com,On-Site,On-site,Wellspring Industries,wellprint.in,"Multi-product manufacturing facility in MIDC Hingna producing industrial components with focus on quality, sustainability, and employee development.","Plan production schedules, coordinate resources, monitor production progress, prepare reports, optimize production efficiency.",Bachelor's degree required | 2-3 years production planning | Knowledge of planning software | Analytical skills | Strong organizational abilities,Plan production schedules | Coordinate resources allocation | Monitor production progress | Prepare efficiency reports | Optimize schedules | Support improvements,"Production Planning, Resource Management, Analytical Skills, Data Analysis, Planning Software"
Electrical Maintenance Technician,Full-time,"MIDC Hingna, Nagpur",2-4 years,27000,37000,ITI,Manufacturing,2,Upto 2 weeks,2020-2023,eros ngp@bsnl.in,On-Site,On-site,Eros Metal Works Pvt Ltd,https://www.erosmetalworks.com,Leading precision metal manufacturing company in Nagpur specializing in aerospace and automotive components with ISO certification and modern CNC facilities.,"Maintain electrical systems, troubleshoot electrical issues, perform preventive maintenance, keep maintenance records, ensure safety compliance.",ITI in electrical engineering | 2-4 years electrical maintenance | Knowledge of electrical systems | Safety certification | Problem-solving ability,Maintain electrical systems | Troubleshoot electrical issues | Perform preventive maintenance | Keep maintenance records | Report problems | Follow safety,"Electrical Maintenance, Troubleshooting, Preventive Maintenance, Safety Compliance, Technical Skills"
Product Inspector,Full-time,"Mansar, Nagpur",1-2 years,21000,28000,Diploma,Manufacturing,3,Immediate Joiner,2023-2024,eros ngp@bsnl.in,On-Site,Walk-In,Eros Metal Works Pvt Ltd,https://www.erosmetalworks.com,Leading precision metal manufacturing company in Nagpur specializing in aerospace and automotive components with ISO certification and modern CNC facilities.,"Inspect finished products, verify quality standards, document defects, prepare inspection reports, ensure zero-defect compliance.",Diploma in mechanical or quality engineering | 1-2 years inspection experience | Knowledge of inspection standards | Attention to detail | Documentation skills,Inspect finished products | Verify quality standards | Document defects found | Prepare inspection reports | Identify improvement areas | Maintain records,"Quality Inspection, Product Testing, Documentation, Attention to Detail, Standards Knowledge"
Press Machine Operator,Full-time,"Dharampeth, Nagpur",1-3 years,19000,26000,10th Pass,Manufacturing,4,Upto 1 week,2022-2025,sales@vaibhavplastimoulds.com,On-Site,Walk-In,Vaibhav Manufacturing,vaibhavplasto.com,Full-service manufacturing plant in Dharampeth specialized in automotive parts and machinery components with modern production facilities.,"Operate press machines, set machine parameters, monitor output quality, maintain equipment logs, ensure safety procedures.",10th pass education | 1-3 years press operation experience | Technical knowledge | Safety protocol awareness | Attention to precision,Operate press machines | Set machine parameters | Monitor output quality | Maintain equipment logs | Report malfunctions | Follow safety procedures,"Press Machine Operation, Equipment Setup, Quality Monitoring, Safety Compliance, Technical Skills"
Logistics Coordinator,Full-time,"MIDC Area, Nagpur",1-2 years,20000,27000,12th Pass,Manufacturing,2,Upto 1 week,2023-2024,hello@starorigin.in,On-Site,Online,Star Human Resource Solutions,https://starhumanresource.com/,"Recruitment and staffing agency placing candidates in manufacturing, production, and technical roles across Nagpur MIDC and industrial areas.","Coordinate shipments, prepare documentation, track deliveries, manage logistics records, coordinate with external partners.",12th pass minimum | 1-2 years logistics coordination | Documentation skills | Communication abilities | Organizational capabilities,Coordinate shipments | Prepare shipping documentation | Track delivery status | Manage logistics records | Communicate with partners | Ensure timeliness,"Logistics Coordination, Documentation, Communication, Organizational Skills, Record Management"
Foundry Operator,Full-time,"Kuhi, Nagpur",2-4 years,28000,38000,ITI,Manufacturing,2,Upto 2 weeks,2020-2023,aryanaluminium12@gmail.com,On-Site,On-site,Aryan Trading Company,https://www.aryangrouppune.co.in/,"CNC machine shop and manufacturing unit focusing on precision engineering, custom fabrication, and equipment maintenance services.","Operate foundry equipment, handle molten metals, ensure casting quality, maintain equipment, follow foundry safety standards.",ITI in foundry or mechanical engineering | 2-4 years foundry operation | Knowledge of casting process | Safety certification | Physical capability,Operate foundry equipment | Handle molten materials | Ensure casting quality | Maintain equipment logs | Report safety issues | Follow protocols,"Foundry Operations, Equipment Operation, Casting Knowledge, Safety Compliance, Physical Capability"
HSE Officer,Full-time,"Hingna, Nagpur",1-3 years,29000,39000,Diploma,Manufacturing,1,Upto 1 week,2022-2024,hrd@zimlab.in,On-Site,On-site,ZIM Laboratories Ltd,https://www.zimlab.in/,Pharmaceutical and manufacturing company at MIDC with integrated production facilities and strong focus on quality compliance and workplace safety.,"Develop and implement HSE policies, conduct safety audits, train employees, investigate incidents, maintain compliance records.",Diploma or Bachelor's degree | 1-3 years HSE experience | Knowledge of safety regulations | Communication skills | Audit experience,Develop HSE policies | Conduct safety audits | Train employees | Investigate incidents | Maintain compliance records | Report to management,"Health and Safety, Audit Procedures, Training, Risk Management, Compliance Management"
Machining Center Operator,Full-time,"MIDC Hingna, Nagpur",1-3 years,22000,30000,ITI,Manufacturing,3,Upto 1 week,2022-2025,emwpl@erosgroup.co.in.,On-Site,On-site,Eros Metal Works Pvt Ltd,https://www.erosmetalworks.com,Leading precision metal manufacturing company in Nagpur specializing in aerospace and automotive components with ISO certification and modern CNC facilities.,"Operate machining centers, set machine programs, monitor precision, maintain equipment, ensure quality standards.",ITI in mechanical manufacturing | 1-3 years machining experience | Technical drawing knowledge | Precision focus | Problem-solving ability,Operate machining centers | Set machine programs | Monitor precision levels | Maintain equipment | Report issues | Maintain quality standards,"Machining, CNC Operation, Technical Skills, Quality Control, Precision Work"
Raw Material Analyst,Full-time,"Hingna Road, Nagpur",1-2 years,21000,29000,Diploma,Manufacturing,2,Immediate Joiner,2023-2024,info@dmcfs.in.,On-Site,Online,Deccan Management Consultants,https://www.dmcfs.in/.,Manufacturing and skill training organization focused on quality assurance and production management with hands-on industry exposure.,"Analyze raw materials, test material properties, maintain quality records, prepare testing reports, ensure material compliance.",Diploma in chemistry or engineering | 1-2 years material testing | Laboratory knowledge | Testing equipment proficiency | Record keeping,Analyze raw materials | Test material properties | Maintain testing records | Prepare quality reports | Identify material issues | Support compliance,"Material Testing, Laboratory Skills, Quality Analysis, Documentation, Technical Knowledge"
Tool and Die Maker,Full-time,"Kuhi, Nagpur",3-5 years,33000,45000,ITI,Manufacturing,1,Upto 2 weeks,2019-2022,aryanaluminium12@gmail.com,On-Site,On-site,Aryan Trading Company,https://www.aryangrouppune.co.in/,"CNC machine shop and manufacturing unit focusing on precision engineering, custom fabrication, and equipment maintenance services.","Design and manufacture tools and dies, ensure precision, maintain tool inventory, support production requirements.",ITI in tool making | 3-5 years tool making experience | CAD knowledge | Precision focus | Design understanding,Design and manufacture tools | Ensure precision manufacturing | Maintain tool inventory | Support production | Troubleshoot tool issues | Maintain records,"Tool Making, Precision Engineering, CAD Knowledge, Design, Troubleshooting"
Production Clerk,Full-time,"MIDC Area, Nagpur",Fresher,16000,20000,12th Pass,Manufacturing,3,Immediate Joiner,2024-2025,hello@starorigin.in,On-Site,Walk-In,Star Human Resource Solutions,https://starhumanresource.com/,"Recruitment and staffing agency placing candidates in manufacturing, production, and technical roles across Nagpur MIDC and industrial areas.","Maintain production records, prepare documents, assist with data entry, coordinate with departments, support production team.",12th pass minimum | Fresher candidates accepted | Computer literacy | Organizational skills | Attention to detail,Maintain production records | Prepare production documents | Assist with data entry | Coordinate with departments | Update records | Support team,"Data Entry, Documentation, Record Keeping, Organization, Computer Skills"
Sandblasting Operator,Full-time,"Dharampeth, Nagpur",1-2 years,18000,25000,10th Pass,Manufacturing,2,Upto 1 week,2023-2024,sales@vaibhavplastimoulds.com,On-Site,Walk-In,Vaibhav Manufacturing,vaibhavplasto.com,Full-service manufacturing plant in Dharampeth specialized in automotive parts and machinery components with modern production facilities.,"Operate sandblasting equipment, prepare surfaces for coating, maintain equipment, ensure quality surface finish, follow safety protocols.",10th pass minimum | 1-2 years sandblasting experience | Safety certification | Equipment operation skills | Physical capability,Operate sandblasting equipment | Prepare component surfaces | Ensure surface finish quality | Maintain equipment | Follow safety procedures | Clean workspace,"Sandblasting, Equipment Operation, Surface Preparation, Safety Compliance, Physical Skills"
Technical Trainer,Full-time,"Hingna Road, Nagpur",2-4 years,32000,42000,Diploma,Manufacturing,1,Upto 1 week,2020-2023,info@dmcfs.in.,On-Site,On-site,Deccan Management Consultants,https://www.dmcfs.in/.,Manufacturing and skill training organization focused on quality assurance and production management with hands-on industry exposure.,"Develop training programs, conduct employee training, assess skill levels, maintain training records, support continuous learning.",Diploma or Bachelor's degree | 2-4 years training experience | Communication and presentation skills | Subject matter expertise | Training knowledge,Develop training programs | Conduct employee training sessions | Assess skill development | Maintain training records | Provide feedback | Update materials,"Training and Development, Communication, Subject Expertise, Program Development, Assessment Skills"
Back Office Sales Executive,Full-time,"Nagpur, Maharashtra",Fresher / 0 Year,"4,00,000","8,00,000",Bachelor's Degree,Sales and Marketing,1,Immediate Joiner,2020�2025,https://www.foundit.in/job/sales-marketing-executive-khandelwal-gift-mart-nagpur-38202849,On-Site,Online or On-site,Khandelwal Gift Mart,https://www.khandelwalgiftmart.com/,premium gifting company,Handles daily sales operations,Minimum 12th pass or graduate,maintain stock records,"Good communication, customer handling, basic MS Excel, and product knowledge skills."
